Welcome to the profile statistics browser.
profiling.data% profiling.data% profiling.data% Thu Sep 15 15:37:01 2016    profiling.data

         16958841 function calls (16955127 primitive calls) in 29.129 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2572(MaskedArray)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method dir}
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:34(_relax_case)
       18    0.000    0.000    0.000    0.000 core.py:902(__init__)
       14    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
    14/13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1287(load_module)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(spec_from_loader)
      447    0.000    0.000    0.000    0.000 {built-in method chr}
      410    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.000    0.000 graph.py:1211(degree)
      182    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:8(<module>)
       20    0.000    0.000    0.000    0.000 posixpath.py:145(dirname)
      144    0.000    0.000    0.000    0.000 inspect.py:1072(formatargandannotation)
      139    0.000    0.000    0.000    0.000 {built-in method _getframe}
       23    0.000    0.000    0.000    0.000 sre_parse.py:190(__init__)
       23    0.000    0.000    0.004    0.000 sre_compile.py:548(_code)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2240(_gcd_import)
        1    0.000    0.000    0.012    0.012 uuid.py:45(<module>)
       31    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        4    0.000    0.000    0.374    0.094 ga.py:16(__init__)
       38    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       82    0.000    0.000    0.000    0.000 __init__.py:364(<genexpr>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.002    0.002 random.py:37(<module>)
      300    0.000    0.000    0.000    0.000 inspect.py:2155(kind)
       59    0.000    0.000    0.000    0.000 {built-in method repr}
       49    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.003    0.003 shutil.py:5(<module>)
        2    0.000    0.000    0.023    0.011 __init__.py:15(<module>)
       23    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
        1    0.000    0.000    0.001    0.001 pickle.py:24(<module>)
      300    0.000    0.000    0.000    0.000 inspect.py:2151(annotation)
      101    0.000    0.000    0.000    0.000 re.py:157(match)
        1    0.000    0.000    0.004    0.004 communicability_alg.py:3(<module>)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__exit__)
        1    0.000    0.000    0.000    0.000 token.py:71(<dictcomp>)
        1    0.000    0.000    0.003    0.003 index_tricks.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:92(_path_isdir)
      112    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1616(get_filename)
      104    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
    28/26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:546(_requires_builtin_wrapper)
       16    0.000    0.000    0.000    0.000 {built-in method clock}
       23    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:288(_add_types)
        1    0.000    0.000    0.000    0.000 utils.py:4(<module>)
